     kz              E+_uu           E+_vv           E+_ww           E+_pp
  1.6466667e+02   1.5999980e-03   6.1960824e-04   2.5137816e-04   1.8126220e-03
  1.6533333e+02   1.5719037e-03   6.1077042e-04   2.4607920e-04   1.7839935e-03
  1.6600000e+02   1.5505301e-03   6.0199727e-04   2.4286878e-04   1.7491048e-03
  1.6666667e+02   1.5371859e-03   5.9318265e-04   2.3878902e-04   1.7301056e-03
  1.6733333e+02   1.5158771e-03   5.8494834e-04   2.3537663e-04   1.6922491e-03
  1.6800000e+02   1.4933820e-03   5.7478649e-04   2.3116370e-04   1.6688992e-03
  1.6866667e+02   1.4693146e-03   5.6929517e-04   2.2677132e-04   1.6448736e-03
  1.6933333e+02   1.4484446e-03   5.6110741e-04   2.2294073e-04   1.6158895e-03
  1.7000000e+02   1.4331898e-03   5.5491934e-04   2.2030407e-04   1.5871229e-03
  1.7066667e+02   1.4130943e-03   5.4630926e-04   2.1617063e-04   1.5622793e-03
  1.7133333e+02   1.3911739e-03   5.3963725e-04   2.1289240e-04   1.5374027e-03
  1.7200000e+02   1.3710868e-03   5.2975744e-04   2.0929494e-04   1.5065918e-03
  1.7266667e+02   1.3528213e-03   5.2448322e-04   2.0601343e-04   1.4840167e-03
  1.7333333e+02   1.3405563e-03   5.1645701e-04   2.0277372e-04   1.4601535e-03
  1.7400000e+02   1.3238219e-03   5.0893744e-04   1.9900843e-04   1.4346234e-03
  1.7466667e+02   1.3032845e-03   5.0238551e-04   1.9662155e-04   1.4112917e-03
  1.7533333e+02   1.2876627e-03   4.9817662e-04   1.9273856e-04   1.3940791e-03
  1.7600000e+02   1.2728347e-03   4.8895560e-04   1.9020143e-04   1.3663002e-03
  1.7666667e+02   1.2520078e-03   4.8197231e-04   1.8689502e-04   1.3474252e-03
  1.7733333e+02   1.2384823e-03   4.7690720e-04   1.8408487e-04   1.3228134e-03
  1.7800000e+02   1.2217910e-03   4.6768670e-04   1.8064816e-04   1.3036686e-03
  1.7866667e+02   1.2071396e-03   4.6193303e-04   1.7848755e-04   1.2824713e-03
  1.7933333e+02   1.1909978e-03   4.5723441e-04   1.7533192e-04   1.2609607e-03
  1.8000000e+02   1.1709240e-03   4.4944893e-04   1.7280464e-04   1.2406007e-03
  1.8066667e+02   1.1587439e-03   4.4422441e-04   1.6971691e-04   1.2177456e-03
  1.8133333e+02   1.1458833e-03   4.3877282e-04   1.6709628e-04   1.2012509e-03
  1.8200000e+02   1.1281633e-03   4.3129388e-04   1.6483261e-04   1.1829521e-03
  1.8266667e+02   1.1126579e-03   4.2561431e-04   1.6179008e-04   1.1578040e-03
  1.8333333e+02   1.0972966e-03   4.2094683e-04   1.5972272e-04   1.1410509e-03
  1.8400000e+02   1.0881085e-03   4.1472691e-04   1.5642031e-04   1.1266835e-03
  1.8466667e+02   1.0754211e-03   4.1074924e-04   1.5465952e-04   1.1093261e-03
  1.8533333e+02   1.0615521e-03   4.0464734e-04   1.5214956e-04   1.0904492e-03
  1.8600000e+02   1.0433139e-03   3.9770471e-04   1.4968328e-04   1.0706832e-03
  1.8666667e+02   1.0318102e-03   3.9191737e-04   1.4726031e-04   1.0536462e-03
  1.8733333e+02   1.0176125e-03   3.8741336e-04   1.4484390e-04   1.0341865e-03
  1.8800000e+02   1.0088616e-03   3.8228506e-04   1.4299728e-04   1.0188329e-03
  1.8866667e+02   9.8816232e-04   3.7737223e-04   1.4043900e-04   1.0028436e-03
  1.8933333e+02   9.8132256e-04   3.7175824e-04   1.3875861e-04   9.8676634e-04
  1.9000000e+02   9.6885522e-04   3.6756013e-04   1.3630656e-04   9.7322690e-04
  1.9066667e+02   9.5237180e-04   3.6355039e-04   1.3410027e-04   9.5702632e-04
  1.9133333e+02   9.4513914e-04   3.5642155e-04   1.3214075e-04   9.3920700e-04
  1.9200000e+02   9.2904068e-04   3.5315721e-04   1.3053975e-04   9.2637407e-04
  1.9266667e+02   9.2159241e-04   3.4813215e-04   1.2821044e-04   9.0951539e-04
  1.9333333e+02   9.0774206e-04   3.4304166e-04   1.2612811e-04   8.9503288e-04
  1.9400000e+02   8.9338802e-04   3.3793630e-04   1.2432273e-04   8.7999201e-04
  1.9466667e+02   8.8891088e-04   3.3400439e-04   1.2243337e-04   8.6807079e-04
  1.9533333e+02   8.7465510e-04   3.2949139e-04   1.2049367e-04   8.5276809e-04
  1.9600000e+02   8.6545354e-04   3.2533649e-04   1.1850992e-04   8.4085918e-04
  1.9666667e+02   8.5327233e-04   3.2094155e-04   1.1652469e-04   8.2531516e-04
  1.9733333e+02   8.4430066e-04   3.1681679e-04   1.1498334e-04   8.1206939e-04
  1.9800000e+02   8.3113183e-04   3.1281177e-04   1.1350936e-04   7.9954559e-04
  1.9866667e+02   8.2266963e-04   3.0948659e-04   1.1136268e-04   7.8536229e-04
  1.9933333e+02   8.1045623e-04   3.0534161e-04   1.0990316e-04   7.7355968e-04
