     kx              E+_uu           E+_vv           E+_ww           E+_pp
  5.3250000e+01   2.0333908e-03   9.0222587e-04   1.6899788e-03   1.0609387e-02
  5.3500000e+01   2.0196583e-03   8.9774432e-04   1.6742176e-03   1.0531954e-02
  5.3750000e+01   1.9942735e-03   8.9462319e-04   1.6582994e-03   1.0434858e-02
  5.4000000e+01   1.9653030e-03   8.8254334e-04   1.6249770e-03   1.0271823e-02
  5.4250000e+01   1.9428173e-03   8.7175746e-04   1.6153881e-03   1.0177475e-02
  5.4500000e+01   1.9234208e-03   8.6461771e-04   1.5937684e-03   1.0075309e-02
  5.4750000e+01   1.8987024e-03   8.5790431e-04   1.5644379e-03   9.9902404e-03
  5.5000000e+01   1.8800114e-03   8.5024892e-04   1.5576885e-03   9.8864458e-03
  5.5250000e+01   1.8548430e-03   8.4564433e-04   1.5447014e-03   9.7780192e-03
  5.5500000e+01   1.8276282e-03   8.3515726e-04   1.5287090e-03   9.6366082e-03
  5.5750000e+01   1.8129068e-03   8.3057469e-04   1.5240983e-03   9.6277625e-03
  5.6000000e+01   1.7877726e-03   8.1999597e-04   1.4899032e-03   9.4950950e-03
  5.6250000e+01   1.7694543e-03   8.1540772e-04   1.4765291e-03   9.4324320e-03
  5.6500000e+01   1.7447966e-03   8.1019647e-04   1.4574224e-03   9.2858307e-03
  5.6750000e+01   1.7266692e-03   8.0380510e-04   1.4514498e-03   9.2750645e-03
  5.7000000e+01   1.6987845e-03   7.9486651e-04   1.4371324e-03   9.0670882e-03
  5.7250000e+01   1.6701768e-03   7.8407436e-04   1.4054402e-03   9.0192557e-03
  5.7500000e+01   1.6571481e-03   7.8309143e-04   1.3995334e-03   9.0013180e-03
  5.7750000e+01   1.6386916e-03   7.7560117e-04   1.3813528e-03   8.8748135e-03
  5.8000000e+01   1.6317792e-03   7.6966511e-04   1.3687785e-03   8.7378048e-03
  5.8250000e+01   1.5970663e-03   7.6047658e-04   1.3634068e-03   8.6257902e-03
  5.8500000e+01   1.5750832e-03   7.5298053e-04   1.3356381e-03   8.5525221e-03
  5.8750000e+01   1.5559055e-03   7.5076219e-04   1.3298524e-03   8.5192182e-03
  5.9000000e+01   1.5498422e-03   7.4379740e-04   1.3142338e-03   8.4601548e-03
  5.9250000e+01   1.5288846e-03   7.4146623e-04   1.2971724e-03   8.3893451e-03
  5.9500000e+01   1.5092491e-03   7.2974916e-04   1.2835736e-03   8.2383763e-03
  5.9750000e+01   1.4963568e-03   7.2306236e-04   1.2765206e-03   8.2110261e-03
